S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1146,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT LUMIA GSM MOBILE PHONE,MICROSOFT LUMIA 950 (RM-1118),MICROSOFT MOBILE OY
1147,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT LUMIA GSM MOBILE PHONE,MICROSOFT LUMIA 950 XL (RM-1116),MICROSOFT MOBILE OY
1148,MICROSOFT MOBILE DEVICES( NOKIA WEST AFRICA (NIGERIA) LIMITED),MICROSOFT MOBILE DEVICES AND SERVICES C/O NOKIA WEST AFRICA(NIGERIA) LIMITED,MICROSOFT GSM MOBILE PHONE,NOKIA 222(DUAL) (TYPE RM-1136),MICROSOFT MOBILE OY
1149,MICROSOFT NIGERIA LIMITED,MICROSOFT NIGERIA LIMITED,MICROSOFT GSM MOBILE PHONE,LUMIA 650 DUAL (RM-1154),MICROSOFT MOBILE OY
1150,MICROSOFT NIGERIA LIMITED,MICROSOFT NIGERIA LIMITED,MICROSOFT GSM MOBILE PHONE,NOKIA 216 DUAL SIM (RM-1187),MICROSOFT
1151,Mitsubishi Trium,Mitsubishi Trium,Mitsubishi Trium Mobile,Cosmo,Mitsubishi
1152,Mitsubishi Trium,Mitsubishi Trium,Mitsubishi Trium Mobile,Mars,Mitsubishi
1153,Mitsubishi Trium,Mitsubishi Trium,Mitsubishi Trium Mobile,Neptune,Mitsubishi
1154,MOBILENET TECH. LIMITED,MOBILENET TECH. LIMITED,DUAL MODE GSM/WIFI CELLULAR PHONE (5LINKGLOBALWIFICELLPHONE),GM100 WM680,5LINK ENTERPRISES INC.
1155,MOTOROLA,MOTOROLA,MOTOROLA,A008 (MC2?41J11),MOTOROLA MOBILITY INC.
1156,MOTOROLA,MOTOROLA,MOTOROLA,A1200,MOTOROLA MOBILITY INC.
1157,MOTOROLA,MOTOROLA,MOTOROLA,A88 BATANGAS (CDMA),MOTOROLA MOBILITY INC.
1158,MOTOROLA,MOTOROLA,MOTOROLA,C116,MOTOROLA MOBILITY INC.
1159,MOTOROLA,MOTOROLA,MOTOROLA,C200,MOTOROLA MOBILITY INC.
1160,MOTOROLA,MOTOROLA,MOTOROLA,C550,MOTOROLA MOBILITY INC.
1161,MOTOROLA,MOTOROLA,MOTOROLA,E365,MOTOROLA MOBILITY INC.
1162,MOTOROLA,MOTOROLA,MOTOROLA,F3,MOTOROLA MOBILITY INC.
1163,MOTOROLA,MOTOROLA,MOTOROLA,F3C?CDMA,MOTOROLA MOBILITY INC.
1164,MOTOROLA,MOTOROLA,MOTOROLA,K1,MOTOROLA MOBILITY INC.
1165,MOTOROLA,MOTOROLA,MOTOROLA,L7I,MOTOROLA MOBILITY INC.
1166,MOTOROLA,MOTOROLA,MOTOROLA,L9,MOTOROLA MOBILITY INC.
1167,MOTOROLA,MOTOROLA,MOTOROLA,M8989,MOTOROLA MOBILITY INC.
1168,MOTOROLA,MOTOROLA,MOTOROLA,MPX200,MOTOROLA MOBILITY INC.
1169,MOTOROLA,MOTOROLA,MOTOROLA,Q,MOTOROLA MOBILITY INC.
1170,MOTOROLA,MOTOROLA,MOTOROLA,T180 (MC2?41H21),MOTOROLA MOBILITY INC.
1171,MOTOROLA,MOTOROLA,MOTOROLA,T191,MOTOROLA MOBILITY INC.
1172,MOTOROLA,MOTOROLA,MOTOROLA,T192 (MC3?41B11),MOTOROLA MOBILITY INC.
1173,MOTOROLA,MOTOROLA,MOTOROLA,T2288 (MC2?41H11),MOTOROLA MOBILITY INC.
1174,MOTOROLA,MOTOROLA,MOTOROLA,T250 (MT2?411A32),MOTOROLA MOBILITY INC.
1175,MOTOROLA,MOTOROLA,MOTOROLA,T280 (MT3?41D11),MOTOROLA MOBILITY INC.
1176,MOTOROLA,MOTOROLA,MOTOROLA,U9,MOTOROLA MOBILITY INC.
1177,MOTOROLA,MOTOROLA,MOTOROLA,V150,MOTOROLA MOBILITY INC.
1178,MOTOROLA,MOTOROLA,MOTOROLA,V2288E,MOTOROLA MOBILITY INC.
1179,MOTOROLA,MOTOROLA,MOTOROLA,V300,MOTOROLA MOBILITY INC.
1180,MOTOROLA,MOTOROLA,MOTOROLA,V50 (MC2?41E14),MOTOROLA MOBILITY INC.
1181,MOTOROLA,MOTOROLA,MOTOROLA,V500,MOTOROLA MOBILITY INC.
1182,MOTOROLA,MOTOROLA,MOTOROLA,V51/V8088 (MC2?41E12),MOTOROLA MOBILITY INC.
1183,MOTOROLA,MOTOROLA,MOTOROLA,V600,MOTOROLA MOBILITY INC.
1184,MOTOROLA,MOTOROLA,MOTOROLA,V66 (MT3?41C11),MOTOROLA MOBILITY INC.
1185,MOTOROLA,MOTOROLA,MOTOROLA,V70,MOTOROLA MOBILITY INC.
1186,MOTOROLA,MOTOROLA,MOTOROLA,V8,MOTOROLA MOBILITY INC.
1187,MOTOROLA,MOTOROLA,MOTOROLA,W156,MOTOROLA MOBILITY INC.
1188,MOTOROLA,MOTOROLA,MOTOROLA,W160,MOTOROLA MOBILITY INC.
1189,MOTOROLA,MOTOROLA,MOTOROLA,W170 (CDMA),MOTOROLA MOBILITY INC.
1190,MOTOROLA,MOTOROLA,MOTOROLA,W180,MOTOROLA MOBILITY INC.
1191,MOTOROLA,MOTOROLA,MOTOROLA,W205,MOTOROLA MOBILITY INC.
1192,MOTOROLA,MOTOROLA,MOTOROLA,W208,MOTOROLA MOBILITY INC.
1193,MOTOROLA,MOTOROLA,MOTOROLA,W209,MOTOROLA MOBILITY INC.
1194,MOTOROLA,MOTOROLA,MOTOROLA,W210?CDMA,MOTOROLA MOBILITY INC.
1195,MOTOROLA,MOTOROLA,MOTOROLA,W213,MOTOROLA MOBILITY INC.
1196,MOTOROLA,MOTOROLA,MOTOROLA,W215,MOTOROLA MOBILITY INC.
1197,MOTOROLA,MOTOROLA,MOTOROLA,W218,MOTOROLA MOBILITY INC.
1198,MOTOROLA,MOTOROLA,MOTOROLA,W375,MOTOROLA MOBILITY INC.
1199,MOTOROLA,"MOTOROLA MOBILITY LLC,",MOTOROLA MOBILE PHONE,Z3,MOTOROLA MOBILITY INC.
1200,MOTOROLA,"MOTOROLA MOBILITY LLC,",MOTOROLA MOBILE PHONE,Z6,MOTOROLA MOBILITY INC.
